Time (s),Power (W)
1748,1011.198039
1749,895.4391721
1750,1293.103733
1751,1533.649745
1752,41.79603693
1753,-1369.510205
1754,-1404.110363
1755,-5449.399246
1756,-5072.10395
1757,-5932.761065
1758,-4072.512129
1759,-4233.4617
1760,-4728.292998
1761,-4643.975026
1762,-3113.348187
1763,-3250.581888
1764,-2448.712029
1765,-1677.315833
1766,-468.5868504
1767,0
1768,0
1769,0
1770,0
1771,0
1772,504.1743273
1773,1484.688496
1774,2303.029583
1775,3254.084824
1776,4631.935763
1777,5693.242376
1778,6004.882933
1779,4831.205467
1780,936.8154658
1781,4345.55725
1782,4798.674204
1783,4210.871434
1784,1632.90684
1785,20.15123886
1786,-937.3466665
1787,-638.4389912
1788,42.32956599
1789,-115.6025623
1790,-5185.467661
1791,-6202.820826
1792,-6070.70117
1793,-5064.885645
1794,-3839.540201
1795,-3014.481169
1796,-2440.061258
1797,-1740.572066
1798,-403.6278286
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0
1817,720.2784645
1818,1790.363273
1819,2792.944706
1820,3859.468066
1821,4913.90938
1822,5406.995822
1823,5626.452862
1824,6147.012123
1825,3517.578461
1826,4430.344631
1827,7695.794982
1828,5349.565277
1829,2193.013845
1830,3289.482967
1831,1566.775713
1832,3317.593899
1833,4029.119886
1834,1915.567439
1835,1460.384031
1836,465.5776717
1837,17.68084078
1838,766.1729091
1839,3409.029153
1840,2481.122416
1841,399.4123966
1842,38.43903129
1843,-50.04051614
1844,710.2957135
1845,2318.836696
1846,2561.165747
1847,1725.316842
1848,579.7656111
1849,177.726572
1850,360.3551913
1851,2387.687217
1852,2781.436089
1853,2933.069646
1854,14.46466617
1855,-351.9384722
1856,578.4827546
1857,1722.332652
1858,2008.865892
1859,1724.296077
1860,789.5452867
1861,-2510.227451
1862,-3747.071015
1863,-3663.947024
1864,-3303.890936
1865,-3916.111492
1866,-5385.326565
1867,-5105.877054
1868,-5689.83192
1869,-4442.197983
1870,-3065.997285
1871,-2840.988534
1872,-2503.884343
1873,-1556.042411
1874,-138.3283803
