Time,Voltage,Current
0,73.98443718,0
1,73.98443718,0
2,73.98443718,0
3,73.98443718,0
4,73.98443718,0
5,73.98443718,0
6,73.98443718,0
7,73.98443718,0
8,73.98443718,0
9,73.98443718,0
10,73.98443718,0
11,73.98443718,0
12,73.98443718,0
13,73.98443718,0
14,73.98443718,0
15,73.98443718,0
16,73.98443718,0
17,73.98443718,0
18,73.98443718,0
19,73.98443718,0
20,73.98443718,0
21,73.98443718,-12.86341217
22,73.9789053,-30.07008443
23,73.97111919,-40.17706606
24,73.96586948,-50.50740737
25,73.96022044,-62.27189592
26,73.95364489,-70.28320885
27,73.94833072,-24.14228794
28,73.96606258,-34.64940249
29,73.96082005,-84.63251832
30,73.93828805,-47.52717023
31,73.95170493,-40.34542835
32,73.95336798,-23.87383382
33,73.95924094,-8.253651675
34,73.9652416,-0.264795349
35,73.96842921,0.060831336
36,73.96856128,-3.231826742
37,73.96714735,-1.199952704
38,73.96792413,59.73202411
39,73.99408759,36.58498818
40,73.98592578,-11.46837034
41,73.96636054,-18.45645178
42,73.96301189,-18.92654452
43,73.9622564,-23.83467039
44,73.9595786,-40.35869078
45,73.95175925,-66.08825564
46,73.93948693,-72.46541598
47,73.93476517,-66.55332768
48,73.93513685,-26.41150302
49,73.95040278,-14.60006441
50,73.95469024,-18.36073765
51,73.95263632,20.5210352
52,73.96880336,48.71816034
53,73.98154091,34.1457413
54,73.97673451,18.21241793
55,73.97090666,-12.46076202
56,73.95826417,-57.6440286
57,73.93846463,-71.94728676
58,73.93058941,-69.52311597
59,73.92947841,-68.35466065
60,73.92790074,-53.32247609
61,73.93231875,-36.87389461
62,73.93779552,-31.35759141
63,73.93906449,-27.51578258
64,73.93977863,-10.55578813
65,73.94624709,-18.56695607
66,73.94248766,-28.98055359
67,73.93745608,-27.18373141
68,73.93736247,-18.83574733
69,73.94013886,-20.78043166
70,73.93874012,-22.81022888
71,73.93724677,-39.99054777
72,73.92918013,-41.14658809
73,73.9274889,-26.65847859
74,73.93248813,-13.51955329
75,73.93734005,-6.665678059
76,73.93988259,-27.51547813
77,73.93072125,-36.46327575
78,73.92605375,-46.21145256
79,73.92077539,-25.0770668
80,73.92848089,-13.91209562
81,73.9325318,-40.2064346
82,73.92081464,-45.75512298
83,73.91723047,-56.61964013
84,73.91119633,-71.28487615
85,73.90320522,-57.32785251
86,73.90707959,-50.98985888
87,73.9080956,-44.59461518
88,73.90932533,-42.76971493
89,73.90878155,-45.9907431
90,73.90612375,-33.61038208
91,73.91007531,-25.76980313
92,73.91244448,-28.01513052
93,73.91071255,-30.36270193
94,73.90886998,-35.41621757
95,73.90579481,-51.24429559
96,73.89793917,-15.58375215
97,73.91173987,-12.37233276
98,73.91265647,-16.91372099
99,73.91033691,-43.83069793
100,73.8982668,-52.34115901
101,73.89330657,-48.46188235
102,73.8934179,-41.5044248
103,73.89496754,-39.29862895
104,73.89468229,-28.9935458
105,73.89794304,-13.08105193
106,73.9039195,-9.824574662
107,73.90493028,-34.35081764
108,73.89409962,-44.75673997
109,73.88860829,-53.37296573
110,73.88357736,-54.76486304
111,73.88139523,-61.60547021
112,73.87683108,-52.47284405
113,73.8789276,-45.18059667
114,73.88050459,-29.04728313
115,73.88609661,-15.05654766
116,73.89124649,91.61020639
117,73.93662981,93.76772517
118,73.94027458,86.47601766
119,73.9399244,77.92219796
120,73.93881637,68.15363399
121,73.93693309,56.18508968
122,73.93381483,51.07060433
123,73.93328662,41.60378883
124,73.93073643,27.45462625
125,73.9258929,6.120206186
126,73.91754107,0
127,73.91509299,0
128,73.91509299,0
129,73.91509299,0
130,73.91509299,0
131,73.91509299,0
132,73.91509299,0
133,73.91509299,0
134,73.91509299,0
135,73.91509299,0
136,73.91509299,0
137,73.91509299,0
138,73.91509299,0
139,73.91509299,0
140,73.91509299,0
141,73.91509299,0
142,73.91509299,0
143,73.91509299,0
144,73.91509299,0
145,73.91509299,0
146,73.91509299,0
147,73.91509299,0
148,73.91509299,0
149,73.91509299,0
150,73.91509299,0
151,73.91509299,0
152,73.91509299,0
153,73.91509299,0
154,73.91509299,0
155,73.91509299,0
156,73.91509299,0
157,73.91509299,0
158,73.91509299,0
159,73.91509299,0
160,73.91509299,0
161,73.91509299,0
162,73.91509299,0
163,73.91509299,0
164,73.91509299,-6.800720192
165,73.91217053,-20.4319862
166,73.90611064,-28.78992125
167,73.90191173,-33.52754858
168,73.89902027,-43.27317899
169,73.89383619,-46.10897856
170,73.89133207,-41.0876515
171,73.89212021,-41.79255456
172,73.89059716,-35.02857657
173,73.89226271,-24.44747679
174,73.89576937,-1.387929553
175,73.90495199,-4.198128825
176,73.90370329,-6.952354392
177,73.90239522,-17.1661967
178,73.89780015,-15.90552752
179,73.89783233,-16.06712115
180,73.89729085,-19.32150717
181,73.89541571,-36.42853369
182,73.88749199,-3.119776712
183,73.90072293,25.59689208
184,73.91296908,7.499011858
185,73.90595245,32.79134675
186,73.9170425,11.22616162
187,73.9087496,-3.044890969
188,73.90295081,-19.15615135
189,73.89593779,-14.45413661
190,73.89738966,-25.80585981
191,73.89208323,-38.8076654
192,73.88573114,-44.73571365
193,73.88203293,-56.33424569
194,73.87572286,-70.21699579
195,73.86808799,-73.16497318
196,73.86474034,-73.04554288
197,73.86262391,-43.60187781
198,73.87310988,-67.00038832
199,73.86176641,-53.19100927
200,73.86571545,-62.43427567
201,73.86017028,-63.16114299
202,73.85801069,-68.64335972
203,73.85378735,-55.77601106
204,73.85728492,-52.37020204
205,73.85709897,-51.11047015
206,73.85609218,-33.76528062
207,73.86203244,-28.51720614
208,73.86328906,-30.88365791
209,73.86143008,-28.15464102
210,73.86169001,-33.10598842
211,73.85873168,-33.10731445
212,73.85775346,-33.10775294
213,73.85677573,-33.10819123
214,73.85579813,-38.32164111
215,73.8525816,-38.60647872
216,73.8513283,-46.81644304
217,73.84666293,-50.2984391
218,73.84378633,-54.02270174
219,73.84070333,-47.00413416
220,73.84212478,-50.41541766
221,73.83927402,-54.05980176
222,73.83622297,-48.8960529
223,73.83684769,-55.1937197
224,73.83270267,-59.12588516
225,73.82938845,-69.1527051
226,73.82334165,-68.25724488
227,73.82169075,-61.09648661
228,73.82275727,-53.19178143
229,73.82435436,-47.68091532
230,73.82515635,-41.81478638
231,73.82627323,-35.65447807
232,73.8276891,-44.17839032
233,73.82298092,-50.18288891
234,73.81910431,-53.55039825
235,73.8161839,-55.84933553
236,73.81362377,-50.59589079
237,73.81423926,-56.94474298
238,73.81002779,-51.63986548
239,73.81063393,-55.02121599
240,73.80766672,-49.47986709
241,73.80843154,-46.6095731
242,73.80821245,-40.54134833
243,73.80945076,-46.27567532
244,73.80580014,-46.27796423
245,73.80444255,-46.27881549
246,73.80308579,-46.27966626
247,73.80172928,-46.2805169
248,73.80037303,-43.25480868
249,73.8003163,-37.06696116
250,73.80170588,-36.61833354
251,73.80081308,-24.86634613
252,73.80478585,-29.95482856
253,73.80187356,-32.25019087
254,73.80001144,-34.65118145
255,73.79803696,-34.22325664
256,73.79720671,-39.66349917
257,73.7938702,-51.28554161
258,73.78772126,-45.88104312
259,73.78854131,-46.04411138
260,73.78712983,-43.24157794
261,73.78698679,-34.37091739
262,73.78953049,-31.01326518
263,73.78996724,-30.47224691
264,73.78929328,-29.93857136
265,73.78863209,-26.55116062
266,73.78921145,-48.74535696
267,73.77891008,-29.15454452
268,73.78589505,-37.15179448
269,73.78161142,-34.17060401
270,73.78180636,-33.89391712
271,73.78092773,-42.08807083
272,73.7764218,-45.08293341
273,73.77390844,-48.25818439
274,73.77123056,-51.63371789
275,73.76837444,-55.22951932
276,73.76532572,-56.13139114
277,73.76332867,-57.04329695
278,73.76130145,-72.96587441
279,73.75280652,-59.84860482
280,73.75631022,-50.4630402
281,73.75859497,-56.80414126
282,73.7544048,-45.48426259
283,73.75760886,-39.48342176
284,73.7588602,-27.90897306
285,73.76267792,-24.11165755
286,73.76349536,-14.392501
287,73.76696433,-10.45635728
288,73.76823462,-12.23209627
289,73.76716852,-39.26724377
290,73.7552124,-39.27360921
291,73.75406779,-25.20720354
292,73.75896145,-10.93050876
293,73.76435435,-34.75383505
294,73.75381472,-40.16634667
295,73.75048227,-34.76037207
296,73.7516345,-26.34395753
297,73.7542356,-34.07432752
298,73.7501535,-36.68356709
299,73.74804422,-36.68461628
300,73.74697835,-25.74459105
301,73.75060675,-19.87501375
302,73.75237747,-21.90342956
303,73.75093016,-10.85106105
304,73.75503608,-4.965799335
305,73.75724603,-1.723079663
306,73.75849309,-0.993520094
307,73.75875608,2.0708794
308,73.76004195,-1.964502374
309,73.75837077,0.884006639
310,73.75953584,16.66176328
311,73.76633065,10.48034128
312,73.76416236,14.98349201
313,73.76639866,9.107933289
314,73.7643129,5.494495037
315,73.76302707,2.081663309
